,A_11PM,A_3AM,A_7AM,A_11AM,A_3PM,A_7PM,B_11PM,B_3AM,B_7AM,B_11AM,B_3PM,B_7PM
zgc:73136,15.9021,18.7372,12.5507,11.8407,10.7041,11.5853,14.1036,13.9974,15.1688,10.7487,11.0328,12.3673
pdzd11,21.1559,24.1477,17.5011,12.5179,15.1721,12.3586,14.2428,18.5724,18.0182,13.1198,12.7741,12.2117
Med7,8.00899,6.28501,4.82739,3.47618,3.50756,4.54711,4.72703,7.13559,6.30274,3.485,4.37466,4.2589
zgc:77938,7.10391,5.69728,4.9559,4.58586,4.44529,6.7333,6.2247,6.13471,5.83354,4.50122,4.01686,5.20334
qdpra,35.493,43.5475,44.5439,66.4186,68.13,36.7784,50.4182,40.9345,54.795,74.9944,72.7228,59.0553
Etfdh,21.7029,15.603,9.15759,8.06895,14.3106,17.3075,23.511,15.2363,9.63031,10.5418,14.3316,17.4854
Unc5a,1.08236,0.799281,2.10506,1.41607,2.54859,2.94371,1.66844,1.22774,0.997823,2.95888,2.71879,3.28673
tcerg1,7.2692,2.85129,6.96848,14.782,25.659,9.50815,4.14889,7.04731,9.1279,31.8431,15.9322,23.0069
zgc:174864,1.72006,2.17374,3.66568,3.30421,2.43738,1.90536,1.55051,2.09308,3.32067,3.22544,2.61141,1.9703
zgc:65749,4.68272,7.89857,9.25934,9.24348,6.12076,6.58321,6.61532,6.22211,8.99677,9.06744,7.23903,5.00797
pcdh2g28,257.436,233.12,173.662,145.203,221.426,225.05,297.831,260.952,209.112,181.741,225.822,247.471
pcdh2ab10,6.66538,2.0086,0.320098,1.65313,5.58148,11.3384,6.4831,6.84131,2.32704,2.2528,1.19973,6.25559
zgc:162144,6.59666,8.39699,70.6673,64.2048,31.3735,7.57506,3.97062,8.33056,26.8536,114.578,49.6302,20.5475
zgc:64130,28.239,27.3194,31.0708,46.2089,34.2692,27.8536,22.0826,29.8434,30.8078,32.7744,34.955,25.7193
zgc:153710,52.3944,52.4122,35.0412,34.6407,31.0049,34.8283,40.8024,40.5795,47.7881,30.7846,33.0438,35.1016
DUSP1,145.02,114.018,124.531,122.296,173.722,140.17,127.83,140.618,106.388,146.268,186.087,191.591
Mxd3,6.06605,3.71751,1.37152,3.28538,5.39688,8.00024,4.13109,4.76253,1.46242,2.25729,8.06516,8.88754
zgc:158426,42.8603,38.2627,53.7506,56.9359,48.4671,47.4849,39.8952,37.1596,49.499,69.6592,57.3535,42.2905
Mbnl3,102.467,61.521,23.2228,41.3151,78.2753,125.266,171.574,92.3377,24.8414,40.032,79.0944,112.226
fgf13,8.16594,22.5458,38.058,23.7423,24.3488,19.5288,17.3016,23.7693,27.5776,35.612,28.2544,20.8208
UBE2A,44.4527,42.0229,30.1722,24.531,30.8507,32.3936,39.2115,35.1676,41.1142,23.0779,28.0574,27.2022
CLIC2,10.3976,9.15552,10.5896,7.61524,6.96161,7.93243,12.8983,10.4345,10.9992,7.23509,5.19213,8.43075
DRP2,13.1557,19.3961,13.1817,10.985,12.2783,13.0657,15.8832,24.1625,18.3179,11.7118,10.6083,12.7257
TMEM35,68.7795,50.8355,42.7617,40.4613,57.0852,56.5333,70.1526,59.321,46.7456,48.5178,61.5372,60.9909
mid1ip1,19.751,36.2751,79.448,51.8996,33.5468,18.812,27.8664,25.5193,75.7641,57.0783,36.5514,23.4766
zgc:153018,8.587,9.80049,11.6935,13.598,15.8287,13.6216,10.9379,8.48124,14.9846,14.1426,20.0886,15.4874
CCNA2,0.856766,1.55445,1.86603,1.73382,0.527612,0.934516,0.628804,2.25055,1.7975,0.416044,0.216619,0.327121
qdpra,13.9335,31.2941,38.3394,52.7618,54.1819,28.5589,26.4051,35.8466,32.2879,61.1181,59.7016,46.3308
tcerg1,7.01079,7.11857,10.8068,16.3952,20.9589,12.0149,9.40162,11.9588,10.7479,24.7006,17.1622,17.3953
NMD3,5.92502,10.3923,13.9261,11.995,9.74953,7.68127,7.86582,8.1006,11.0702,14.5983,12.0828,8.82843
si:ch211-113p18.5,5.54489,4.35379,4.50756,4.32433,3.18707,5.40492,5.73473,5.01478,5.02997,3.42658,3.46893,4.32962
zgc:73371,54.6565,47.7739,109.462,128.16,136.076,54.5927,38.8182,55.3295,50.7928,155.982,122.312,93.7425
zgc:194737,3.64409,2.98115,58.1085,37.9942,17.2229,6.16066,4.81228,0.95938,12.0777,61.9498,16.2073,11.1939
PLIN2,5.24768,1.66507,0.510624,1.03319,4.74873,5.09025,3.66844,3.23492,1.05974,2.09712,2.84557,6.21785
TMEM49,16.113,16.5571,12.3909,10.2981,10.2689,10.4985,12.8063,12.7511,10.6852,8.40794,10.5263,11.0231
IFT20,11.1094,8.69681,5.04348,5.25737,5.96603,5.69823,7.5452,7.57895,6.62457,5.68228,5.06599,8.39565
POLDIP2,7.82144,16.7118,23.9256,20.924,18.2102,12.899,13.0622,15.2683,22.4693,27.2342,18.6091,15.4968
zgc:152863,14.9809,9.57853,4.33017,7.68573,14.8103,14.8037,10.8481,9.65464,3.61896,9.02695,18.6198,22.1627
tsr1,3.77827,8.11647,9.29519,10.6087,7.95455,6.29456,6.46944,6.24626,8.20561,10.9536,8.8561,6.15561
slc43a2a,28.8084,21.425,19.0696,12.0757,15.0306,23.6211,21.6934,26.9675,18.8014,10.8327,11.2144,16.69
hspb6,1.16243,2.12921,6.4298,3.92545,1.85915,1.29922,1.46924,0.512225,5.66595,3.31432,1.97032,1.43163
cab39,7.99373,7.7701,7.98345,10.2234,9.99479,10.3902,8.62532,9.27944,6.2273,10.2092,11.8869,9.67156
Acpl2,6.5192,6.55878,5.12576,4.35815,4.3146,4.7171,5.75624,4.45086,4.92013,3.62792,4.1151,4.81955
SAG,182.321,135.872,107.298,190.65,224.004,119.857,164.391,109.378,129.549,215.21,254.65,231.686
zgc:165502,0.640833,0.589677,0.424241,2.52356,2.23096,0.742205,0.531873,0.80687,0.752633,2.73024,4.35403,2.7902
zgc:136867,0.0,0.0,0.0672476,0.21463,0.0815808,0.0,0.0,0.0,0.171634,0.105816,0.0515078,0.087643
zgc:63480,15.2651,16.6715,22.1273,19.0068,14.0007,11.5856,13.6811,16.7355,19.6,15.034,14.3736,11.9691
zgc:92746,14.3851,18.1197,21.7694,25.033,21.0551,14.6812,18.6636,15.3359,19.261,21.8904,21.5317,18.0631
guca1c,1.17303,0.793437,6.07974,9.67597,8.3177,1.43204,1.592,1.51445,3.07574,10.425,8.12986,7.31781
zgc:101710,9.74222,0.0,17.9875,37.2554,44.1323,32.0333,0.0,14.8846,8.38176,28.0259,17.8586,32.6122
rhoub,8.84077,11.9039,43.3956,20.0893,11.0851,7.67328,4.09008,13.9123,25.6061,18.709,12.0583,7.3989
si:dkey-114g7.4,11.8361,13.4167,13.2708,11.6214,10.9422,11.4437,12.5054,12.0146,12.2788,12.1834,10.7365,11.0982
Txndc17,16.376,23.5157,15.0102,13.4199,12.0232,14.6238,17.3587,15.4471,15.9279,11.0654,11.5976,13.4686
HIP1,10.6263,9.01739,5.87054,6.81017,9.84797,13.1011,12.4567,9.74503,6.23253,8.26495,11.9037,13.2849
mrpl28,9.88593,12.7057,16.8746,15.9096,14.4903,14.4271,10.7139,12.559,12.6082,15.9148,14.8654,12.513
bco2a,0.917135,9.59625,8.26818,7.86361,4.28335,0.380316,2.40032,3.63463,6.54325,3.71984,1.78454,0.69036
abcg4b,25.9667,24.6426,18.6881,30.1552,37.8472,25.1746,27.5504,22.1278,14.9533,31.3137,37.4778,35.6418
zgc:154093,5.45315,4.41771,29.9174,16.8818,14.4,3.82734,2.97149,5.27129,17.8216,31.9831,14.6316,9.58973
TMEM199,13.2417,20.9857,10.9332,6.96258,8.77804,10.0296,17.3957,12.942,19.5642,10.8774,7.59346,5.24018
slc6a4a,49.5244,40.3289,14.962,24.949,46.283,49.6951,53.0019,57.0953,28.2197,33.8939,47.6919,57.1889
samsn1a,3.69211,3.26473,1.45318,2.49207,5.05759,5.42349,5.05109,4.45213,1.89457,2.47672,5.26131,9.28913
msi2b,100.116,108.122,88.3294,87.1371,154.155,131.067,125.607,127.723,88.2294,103.338,166.09,154.464
WSB1,31.8727,30.4843,37.0238,49.5122,34.1373,39.6696,25.9372,31.0492,40.0288,39.0854,39.8361,31.9433
zgc:123204,0.0,0.0489212,0.320574,0.592208,0.093969,0.137572,0.0635135,0.0758397,0.273099,0.579317,0.171902,0.0673523
Wdfy1,16.4251,17.1005,13.631,11.2996,13.8479,15.9884,14.5607,16.8218,13.9736,12.0524,14.2904,13.5365
zgc:112998,4.27961,3.02206,2.24281,2.49756,2.57377,3.26877,3.55309,2.89934,1.89466,1.66466,3.45562,2.62393
zgc:153425,27.4008,20.7939,21.9396,29.5647,30.427,22.3352,25.9351,23.395,19.8566,28.2391,32.5322,31.4807
zgc:153372,6.18778,4.75603,3.0188,3.19788,4.38646,4.18966,6.20374,5.26337,2.4329,3.89451,4.35923,6.35152
cdkal1,2.60314,3.25227,6.62909,7.78224,5.85869,5.07115,3.00293,4.22341,2.81252,7.98415,7.04184,5.8384
zgc:158657,3.48296,2.49389,1.29475,0.764115,2.68209,3.06455,2.66149,1.9919,1.89878,2.4609,3.00711,2.9602
atp1a3b,259.527,320.434,472.647,575.768,589.763,294.455,321.112,311.744,340.349,643.922,573.132,492.003
dedd1,21.5209,33.8346,99.2952,68.3405,41.4777,42.4545,27.3941,29.4813,81.5165,88.8999,68.8435,46.2614
gnb3a,88.4552,76.0623,34.5975,43.9416,71.295,55.9616,116.05,95.7806,52.043,52.6833,69.2752,73.4046
POLR3C,2.72403,3.75441,4.03967,4.12623,3.40096,2.62517,2.31323,2.64609,5.19993,3.56266,4.01189,3.09053
gnl1,5.79126,8.19725,12.9538,10.2433,9.62341,7.57398,6.227,9.59567,12.2968,13.4732,11.3505,8.1319
efna1b,7.6784,16.8306,26.66,17.8042,12.6139,12.5474,8.28708,11.1926,18.402,20.3594,15.9426,15.7254
mylipb,1.57662,4.98262,12.3804,5.96039,2.61477,1.92597,1.46873,4.27084,7.2757,4.87126,2.8056,1.12314
gem,15.9598,12.5966,9.33876,4.53246,7.90067,10.1474,19.006,12.2293,8.11778,6.56674,10.3832,8.6532
CDH17,1.43417,1.32299,0.2657,0.21199,0.120616,0.417614,1.22109,1.78213,1.20214,0.214915,0.035218,0.205757
zgc:153892,5.61953,9.84269,12.651,13.7856,10.5785,11.164,9.33837,8.34083,11.5129,16.2921,13.043,10.2553
ndrg1l,368.46,73.941,3.45032,20.8449,48.5692,99.3339,249.561,121.081,16.1961,19.2056,48.3568,93.0223
Ccne2,3.57686,0.906271,0.538174,2.21698,3.55602,4.19745,5.06082,1.48601,1.20737,1.6947,2.32617,6.87367
gbp,9.73327,16.1643,33.2679,17.8996,16.1839,10.8451,9.46684,17.6119,23.3657,18.4958,20.1862,13.9801
zgc:136346,96.2241,70.8641,49.472,65.0209,93.8982,79.1204,108.362,80.1143,48.2964,69.1886,92.0977,94.5712
couptf4,0.367614,0.0657811,0.214108,0.480398,0.384874,0.316736,0.085027,0.1813,0.0820497,0.304847,0.482546,0.389873
zgc:92467,17.3644,17.3847,18.085,14.1166,12.465,14.1017,16.3385,16.5956,17.8549,13.4706,13.27,11.0715
zgc:123210,138.161,140.813,126.035,131.305,70.1361,98.9167,106.959,128.903,167.9,90.2513,95.6267,64.2248
grina,53.7022,53.6478,41.4858,34.4286,38.7465,33.1803,49.8944,49.4171,40.5826,35.4137,35.4272,37.7901
smpdm,85.4127,154.652,75.6426,52.9213,70.2279,75.1174,113.226,128.452,97.8055,59.1827,61.9804,63.3103
BMPER,75.404,69.6152,27.8701,18.4391,32.2626,31.5469,81.5856,137.946,60.8818,35.2878,26.101,39.3274
CA14,54.2208,39.4061,6.17035,18.8997,55.6371,50.2963,79.8172,57.0915,27.1112,24.4438,51.8311,71.6897
PEX5,23.0979,22.5615,27.1702,29.2598,27.6818,17.435,23.1282,25.1035,25.8144,35.9924,27.7329,23.7582
Trpv6,0.0,0.120323,0.202297,0.325469,0.083044,0.0,0.0,0.0955064,0.0287939,0.265071,0.15919,0.0
,8.04198,84.507,94.6563,23.8281,9.12027,13.1003,13.6381,75.403,159.093,28.2029,16.3608,11.0459
rcv1,540.408,353.652,130.808,222.191,323.181,275.302,482.924,411.371,233.012,278.297,338.799,406.598
hdac9b,30.2939,30.9462,16.5159,17.3336,20.075,24.4622,32.6974,30.4902,13.7123,20.0382,25.0097,30.6221
ABCB4,0.553545,2.19556,8.82462,5.60948,3.17536,2.14518,0.764364,1.69911,7.23111,7.34688,3.78688,2.95675
stt3b,17.9132,21.433,23.7308,23.1163,21.7776,21.6533,18.4186,19.6201,21.8292,21.8009,20.6817,17.7819
Tgfbr2,4.13808,4.51768,6.75245,7.61361,5.49167,4.22991,3.11774,4.22367,5.27848,5.18516,6.06698,4.54958
,17.5659,21.7047,18.9097,11.2407,13.0515,14.6726,15.0037,18.7447,18.7591,12.911,14.9764,14.2584
dpy19l1l,27.3655,23.9411,28.2132,25.0878,39.1825,30.9231,25.435,25.3828,22.309,38.2632,42.8938,32.671
azin1a,10.2958,10.9323,8.52664,7.51069,7.21017,10.6257,9.52211,9.94579,10.0326,8.13272,8.13464,7.48507
rbm24b,35.5881,31.0266,32.0452,30.1195,32.2436,33.6938,34.2173,33.3374,28.6809,29.6812,32.2483,33.5445
Cyp11b2,17.8073,34.0123,43.7177,6.59668,5.57643,4.53338,18.2429,48.6989,61.4195,17.2756,8.52406,5.90804
zgc:85909,3.4065,6.14442,7.15265,6.19293,5.43209,5.58309,4.42997,6.29539,8.55362,7.9422,6.79993,5.57091
FBXO30,3.69667,4.03725,2.21039,2.57496,3.22636,4.52767,4.72718,3.49341,2.21072,3.0333,3.21594,3.57461
Mdh1b,16.1536,18.5508,23.9995,25.6248,23.9057,15.95,20.7642,15.2992,22.6516,33.6851,23.6535,18.0066
WDR43,11.036,11.0112,17.2731,15.7631,12.5971,11.3069,9.67867,10.8517,17.709,13.1199,15.3619,10.5091
zgc:162232,18.1684,15.8817,5.35644,3.6152,7.26201,8.50008,24.7996,20.0684,9.02198,4.84147,5.87462,10.0619
,19.1028,18.7591,13.9672,12.8816,13.0933,13.3335,16.1779,18.5298,17.4227,11.7183,14.0025,11.6655
zgc:110805,2.32637,4.49463,4.43964,2.59847,3.25825,2.48662,2.94069,4.48517,5.86026,3.83725,2.72779,1.9154
ywhaqb,160.706,169.344,170.803,127.516,134.459,158.517,143.985,165.831,161.086,144.882,141.64,126.5
ctsba,77.77,102.177,92.4124,66.5701,62.5256,62.4724,94.7916,94.3239,79.4851,70.8383,56.8391,64.7871
fut8,14.4321,17.5878,28.6177,24.8879,23.3004,20.5517,13.6359,21.3861,21.0256,43.603,27.0332,19.8654
asap2a,17.9811,15.0415,7.40707,6.76237,12.0018,15.2234,21.8226,19.7694,12.0857,9.32102,14.0362,16.5969
zgc:158138,36.1316,28.5753,24.3062,19.5692,27.4552,29.439,34.9272,32.1783,26.2128,23.3364,27.8986,27.2838
zgc:153098,38.9317,33.0642,22.1706,14.5143,23.7721,23.2021,37.3322,43.0013,19.6895,17.4818,22.2727,23.0708
PLEKHH1,7.36945,4.65459,2.98618,3.26351,5.45462,5.28745,9.04324,5.3985,4.49699,3.61772,6.9865,6.81452
zgc:101720,5.37712,6.94881,9.13812,7.20978,8.51298,5.97478,5.10286,6.3949,7.41648,8.62137,7.80415,7.14325
ODC1,21.3356,14.1813,9.19236,10.8516,16.7881,28.0247,20.8446,15.4242,7.33019,8.54487,16.5038,29.5792
Ephx2,10.9106,10.8742,11.049,18.0295,15.2768,9.31408,6.97016,9.98512,11.6374,20.2914,13.6055,9.72289
MGA,18.6176,16.6558,17.6847,16.6017,19.6306,21.139,19.0538,16.6015,17.3858,18.5118,22.6108,22.2499
Smyd3,2.24138,2.44439,3.50051,3.76507,5.62523,3.97299,1.71379,3.24834,1.97535,5.15429,5.44331,5.33628
,12.3126,21.4487,37.898,28.9195,30.0669,18.0304,16.7182,20.496,37.5591,46.6629,32.5507,25.3775
zgc:195269,1142.94,876.325,471.68,610.73,860.602,717.133,924.235,943.056,476.159,683.63,909.062,912.853
zgc:193593,578.589,347.345,155.287,133.603,160.335,167.361,337.258,349.362,206.545,179.547,175.869,219.942
Id3,124.756,132.44,34.0386,43.783,54.7216,46.4355,109.87,130.893,61.1316,40.4626,56.578,61.1677
ivd,17.4389,21.0706,21.1539,20.122,19.0075,17.3136,17.4225,17.8645,23.6416,20.4331,16.6173,17.0104
myo6b,5.99782,4.35854,2.89589,2.80963,3.77477,3.79929,4.13647,3.52546,3.05431,2.36981,3.90898,4.06812
CRIP2,10.187,8.62151,5.29518,9.07923,10.0105,10.5632,10.4981,8.53401,3.89635,5.92517,9.60894,10.5062
zgc:193725,57.6199,62.1604,39.0501,39.3507,39.7791,34.8584,49.3814,47.068,49.4353,28.8243,34.5854,33.8312
zgc:103755,6.45215,4.73851,7.01679,9.25283,8.45177,5.26038,6.25037,6.10942,7.01165,10.4926,8.57485,6.39581
zgc:153625,0.853175,1.69178,3.76354,2.64849,1.81174,1.60687,0.810082,1.23823,2.33449,2.64069,2.05164,1.48645
Psen1,14.8783,13.4631,13.0953,12.1916,11.163,12.2901,15.7761,15.249,11.2823,12.2966,9.86514,11.5152
TGFB3,8.95718,11.801,14.671,14.3468,9.06852,8.5955,11.7646,14.1669,15.0585,11.071,12.7257,10.6925
zgc:111960,28.6353,36.4678,20.4468,15.0332,9.12627,12.8318,30.5434,23.5764,30.4268,9.92446,11.614,14.2537
zgc:158718,16.4063,24.1632,35.8542,25.4767,23.5641,23.121,21.1373,29.3464,33.0521,22.871,19.2886,21.0098
zgc:194766,3.95058,5.16018,7.46185,8.99445,7.89177,4.2254,5.69018,6.13063,6.66032,8.38652,8.16449,5.8987
dnaja2l,51.6291,46.043,31.9754,29.6555,39.0824,50.4776,60.4833,48.9841,48.3354,31.0401,45.1858,42.912
CIRH1A,3.67124,4.19212,5.09924,8.13669,5.22915,4.72197,2.06013,4.41967,4.33188,7.55471,5.23725,4.27615
cry1b,1.66358,1.68014,18.1803,16.5319,9.42993,11.3191,1.78874,1.49496,6.00257,15.8002,11.8845,10.3976
zgc:123203,3.98636,6.23064,14.2942,15.0658,10.3202,7.37192,5.31475,6.3265,9.08343,12.6433,10.6547,7.35087
eif4g2b,45.3042,44.3601,50.4151,50.9079,49.7891,48.591,45.4491,45.85,50.4697,54.9187,54.7554,47.2072
DDB2,1.50785,2.23853,7.38032,7.29648,2.86683,2.24013,1.91565,2.53399,7.54793,4.25681,2.56922,2.40109
zgc:66441,3.65593,4.5054,2.9295,2.88102,2.75366,3.12429,3.38625,3.30412,3.2952,2.5556,2.62256,2.64703
CTSH,10.5404,13.2447,10.8532,9.63536,6.73223,6.713,8.25511,9.71695,12.0496,7.80648,5.43549,6.75942
tspan18b,19.0665,13.3944,8.70057,9.0227,10.8223,16.4264,13.528,14.1707,12.2035,9.5788,11.4636,12.8755
TIPARP,17.7853,14.0206,19.4229,18.852,22.2994,16.8114,15.474,15.2948,19.0127,22.4704,22.2442,21.0553
si:dkey-12o15.1,5.44012,11.3648,9.1734,8.18533,8.03787,5.26045,5.03933,11.6375,12.7266,9.12097,7.73956,7.19365
nucb2b,7.7596,8.36642,10.4299,12.3189,10.1967,8.61291,9.00196,6.55466,9.52258,10.2229,10.6507,9.40531
,16.4834,28.7179,18.9217,11.6479,11.8597,13.4595,17.1482,27.0942,24.6523,16.6491,13.9238,14.3461
Bcl2l10,13.7435,15.7346,11.6327,10.6056,10.7906,12.1964,15.5702,12.582,12.1443,7.84727,9.95184,8.31913
colm,0.117434,0.199981,0.352678,0.212217,0.511182,0.401408,0.0651863,0.0396387,0.0726737,0.207554,0.535103,0.56493
si:ch211-132b12.7,0.737104,4.39251,40.9807,19.317,2.37008,2.13017,0.0,1.0433,18.8055,33.3501,4.7917,1.34204
bcl7b,5.5319,5.51877,7.66862,6.58575,6.36679,4.50288,4.8262,6.33083,6.45284,6.51368,5.40548,4.49353
zgc:136844,5.63681,8.12955,12.0838,11.7589,10.3296,8.31309,8.45041,7.88037,10.5756,11.6935,9.59683,10.6387
pkm2a,98.4362,100.958,137.355,136.669,151.203,119.738,94.4257,94.1629,104.705,137.303,140.603,114.907
dhdhl,4.64511,6.4995,7.26413,6.62542,4.1201,4.86417,7.5647,9.1528,6.36109,3.22008,3.46372,2.43177
Pepd,17.7189,19.6219,23.2517,22.006,21.6509,17.5381,15.2144,19.2273,20.4576,20.4772,18.1361,17.2986
cd9a,57.8177,44.2181,27.0499,23.4495,30.8626,41.2261,47.5219,49.2719,48.7247,24.4165,28.3827,39.2171
PDP2,3.74341,4.18825,4.4503,2.61459,2.56107,3.1796,4.51775,3.66232,2.92321,2.25243,2.62286,2.83959
RBM28,4.4434,5.01383,8.2297,8.00061,6.24337,5.93759,4.13554,7.16676,9.45752,7.3707,5.98046,4.7842
si:dkey-238o13.4,66.6466,47.7861,23.3792,19.0107,59.7672,41.0464,51.2712,21.6821,23.43,14.202,30.7597,65.0697
ARNTL2,9.08482,4.60768,0.845923,0.4938,1.92689,6.64625,9.05112,5.51125,1.03202,0.710552,1.77621,4.72205
zgc:123203,0.663561,0.656666,2.16667,1.65663,1.08774,0.767792,0.0,1.57885,0.87096,2.08173,0.966075,0.491121
DENND4A,10.4017,7.20706,5.31758,4.32718,6.48919,11.3907,11.0242,9.03096,5.46188,5.78082,7.76843,8.59881
ASZ1,0.327292,0.230763,0.624821,0.739312,1.06643,0.529276,0.656035,0.510204,0.519847,1.02132,1.41575,0.621085
igf1ra,9.70768,6.85192,4.10278,4.65775,6.50675,8.13036,8.47084,7.90187,6.03916,6.00458,6.86262,7.65852
pnp6,30.0758,33.9959,42.9545,38.3591,42.5431,27.0758,27.0254,35.7349,41.2436,48.0821,45.7236,39.8955
Pskh1,3.59593,2.90934,2.50888,1.92883,3.14524,2.93152,3.53253,3.23487,2.63621,2.36007,2.63548,2.81845
PDCD5,19.1263,21.0983,25.4931,17.1444,14.481,14.1615,17.4038,18.0856,23.1559,14.883,10.9772,14.3594
Nat10,4.62128,4.4845,6.92095,8.21994,6.85096,5.94889,4.00567,5.42415,5.77108,6.99314,7.37595,5.78817
SLC19A3,0.0,0.0,0.0,0.063418,0.072559,0.0781869,0.0,0.0,0.0,0.0,0.182359,0.0762378
Ube2q1,12.9165,12.6574,12.5908,9.68805,10.9299,11.1288,12.8678,14.0872,12.0067,10.8657,11.697,11.9018
hnrpr,17.5414,19.1028,26.6904,23.6948,20.3578,21.0614,18.8092,18.9409,22.2474,21.6672,20.4308,18.6159
oscp1,4.30304,3.22815,0.937035,1.45839,3.20528,4.04983,4.3468,3.37056,2.00809,1.17027,2.72511,5.83205
zgc:152998,24.4273,24.9811,13.5109,12.8305,11.4748,11.396,20.9648,15.3733,21.1845,9.95723,7.11171,10.2728
Brp16,1.33819,2.40802,3.86704,3.43962,1.97102,0.998583,0.98225,1.63166,2.86813,3.7658,2.72052,1.85439
hsf1,23.4834,18.0921,18.1409,16.1795,25.9305,25.1754,22.9612,24.6084,16.6462,19.6143,26.3267,23.9214
si:dkey-211g8.3,15.1467,19.693,21.1554,16.1852,14.0639,14.858,19.3936,19.5551,23.9222,17.0849,16.3993,13.895
SPAG1,3.88934,6.19048,7.60079,6.49203,6.43943,5.22651,5.02498,5.77463,6.26516,7.778,6.59536,5.66665
si:dkey-46a12.1,45.7465,29.2376,18.6845,18.092,21.8942,22.2827,32.5907,37.1768,26.9171,18.8215,19.9454,22.2469
Mrpl3,4.58555,5.54398,7.48981,8.48613,6.90139,5.75583,4.56848,4.6217,9.33971,6.72558,5.32643,5.11463
nr1d2b,5.69713,37.192,95.3884,86.0615,42.6207,12.1513,16.4614,39.1496,92.8979,107.04,58.1843,16.766
nsun2,5.20248,6.37926,6.98718,5.93027,5.48897,5.46933,4.88462,4.68336,6.9741,6.50404,5.92221,4.71416
ldlrap1a,15.203,6.36907,4.56409,5.48222,10.9138,13.2434,12.3181,8.62955,6.11125,5.59652,12.3281,10.661
atxn1b,34.9737,17.2677,12.4678,18.0141,29.5191,37.9572,30.3206,21.4661,11.9935,20.0926,32.301,35.581
THSD7A,13.62,16.3125,9.61415,8.75498,12.1714,13.0842,18.2228,16.5969,11.5129,12.7679,12.2824,16.3839
si:dkey-158b13.1,7.89261,9.83502,19.9623,22.6389,20.63,13.1055,11.7131,13.0598,16.2109,22.4439,17.7654,16.5543
Tbk1,15.4098,20.1766,21.3641,18.5241,16.1076,15.7863,18.065,19.6376,20.083,15.8907,16.2937,16.6555
zgc:136572,13.0178,16.6077,0.486684,5.0237,11.6825,10.9686,12.6738,8.03649,6.41014,4.08124,4.59925,12.932
zgc:153384,3.28047,5.22282,7.91366,5.42719,4.73616,4.15371,3.10444,5.20962,4.77054,5.00889,4.83176,3.46288
zgc:63779,6.00495,6.85354,7.33891,9.01132,8.52166,6.14593,5.96205,6.95794,7.15037,8.92318,7.97041,7.65228
