,A_11PM,A_3AM,A_7AM,A_11AM,A_3PM,A_7PM,B_11PM,B_3AM,B_7AM,B_11AM,B_3PM,B_7PM
msto1,5.28202,7.80146,10.4193,10.4522,9.52025,7.07316,7.93146,9.01345,11.936,10.8514,10.7678,9.31752
gnb3b,101.008,88.0501,38.5498,39.5134,84.425,91.4283,104.325,133.681,65.0476,45.552,86.0314,121.714
si:ch211-210h11.10,9.27172,10.0041,4.85609,4.76245,6.70431,8.48012,9.85625,9.47154,4.24138,6.54388,7.53111,8.06816
si:ch211-39a7.1,9.16584,5.15984,3.50364,2.50669,4.41464,5.65242,8.28158,7.53027,5.2125,5.45491,7.17638,9.1161
celf3,103.465,73.827,55.5961,22.56,33.5038,36.6505,67.1318,67.4284,68.1596,35.3476,39.803,36.647
"regulation of transcription, DNA-dependent ",3.03895,25.7558,48.9213,17.4024,6.5802,5.28293,4.37746,20.7481,57.7895,22.8274,14.3457,3.7574
u2af2b,29.6729,31.0921,29.4201,26.487,26.6615,28.6311,31.07,29.2651,29.5742,26.2992,28.5108,26.3783
zgc:77395,4.02317,5.74442,15.8934,11.1026,8.65758,3.44719,2.93655,2.97824,10.4207,15.4722,9.8603,7.25488
ncaldb,63.3345,63.9784,187.33,83.2637,70.6555,33.8104,33.4895,62.5163,126.587,144.519,83.515,52.7735
CLIC1,41.4412,28.428,16.5094,17.9467,18.7734,22.5944,31.8981,26.849,19.0448,15.6285,15.9652,20.2335
si:dkeyp-114f9.4,96.7075,50.1226,15.5403,25.4155,57.0815,80.2401,91.3687,77.841,43.0101,22.7625,50.7436,84.5548
si:dkey-151c10.1,12.5831,19.3503,30.5368,25.419,19.7908,22.0678,14.7802,16.1866,22.9204,22.7678,18.6827,16.3028
zgc:101594,2.64414,2.34117,3.93408,3.81491,2.0691,0.718436,1.84319,1.9728,2.62375,3.8081,1.96836,1.6283
ZNRD1,0.984165,0.955938,2.51629,2.84984,3.00578,1.17309,0.647623,1.26745,1.56413,3.53102,2.53346,3.80579
mycl1b,19.065,12.9375,13.3491,14.8273,19.7826,19.6654,19.029,16.7504,10.0254,17.3271,20.9796,20.6703
BZW2,7.05595,20.6165,40.3182,22.4565,13.4934,10.5286,16.8551,20.3824,34.2955,33.6745,17.7743,13.9803
HEY1,62.0475,45.5947,15.0459,16.0183,21.5711,19.6244,35.9929,48.2855,33.2719,20.3342,25.5915,24.0992
Hpca,27.7958,39.5365,56.9782,53.0858,55.9842,41.7989,36.6744,43.0641,55.0445,82.6986,60.7561,49.098
si:ch211-197n10.4,3.47992,4.37668,7.30429,6.49788,5.0662,4.02432,3.84268,4.42953,8.59238,4.81907,5.34999,3.57738
si:rp71-57j15.4,4.91196,2.71145,4.10449,3.98416,7.63907,7.09076,5.97237,6.19654,5.02047,5.99136,8.6743,8.96279
ZCCHC17,5.86385,6.15237,8.86124,9.18598,8.48389,6.22195,4.69886,6.6316,8.87022,12.3132,9.61315,9.84427
zgc:158374,5.94295,8.01604,6.95106,2.62872,3.29086,6.20634,7.2234,4.89516,5.08183,3.35767,4.00954,4.26196
SDC2,32.3567,36.4175,36.2606,37.7298,31.9727,32.172,33.727,38.7497,39.2484,34.0066,32.1905,28.2876
zgc:153914,13.4399,14.1226,27.9225,18.9195,16.0837,15.1865,15.9894,16.7825,20.1644,21.9583,14.4723,14.1125
hig1,39.4831,33.6197,66.3995,53.3974,37.571,31.0647,16.6892,22.5323,43.0866,53.3866,34.9097,23.2327
aqp1a.1,64.512,95.3058,237.786,181.006,149.678,69.105,87.814,154.128,219.551,209.258,171.821,135.913
,4.65051,6.84927,3.11848,2.19935,2.99983,4.25152,7.82063,6.1472,4.33392,2.53562,4.323,2.9283
cdc14aa,59.7459,45.8746,25.1017,33.7663,48.7444,46.6682,58.2366,51.3227,26.3741,32.7613,44.7153,68.8893
cdc20,0.920593,2.97752,2.04226,1.11245,0.532266,0.505305,0.811521,1.16236,1.10152,0.527365,0.119464,0.539179
rxrga,1.37343,2.66781,2.33629,1.93268,1.20934,1.19975,1.72938,2.32309,1.7602,1.51282,1.17318,0.871798
mknk2a,10.3746,6.50387,16.0409,15.8131,25.233,9.51557,6.898,8.28937,9.47045,20.7804,22.155,16.162
KIFAP3,15.6555,12.5265,9.01232,9.59411,14.4696,14.2551,17.4536,15.0744,10.7836,12.603,14.6227,13.6545
PIK3R2,18.1203,23.5754,41.8641,32.6685,36.2384,25.0838,20.7107,29.2646,32.7616,46.338,41.9788,26.9649
lppr3a,5.3027,4.00382,3.02196,2.83148,4.27915,5.73485,6.51482,4.09695,4.95797,3.46263,5.9255,6.51893
zgc:158349,8.09099,6.40209,6.14994,6.76445,8.31779,7.80091,8.25508,6.87912,6.92909,6.98974,9.47125,9.54418
si:dkey-94e7.2,24.8107,34.4675,27.6586,22.9974,20.875,13.1325,22.0276,28.3165,29.8417,31.4026,25.3262,19.7704
ankhb,29.3988,25.558,27.3822,13.5667,19.7273,21.6337,27.6155,37.4381,21.0208,19.3312,22.2456,26.2042
mycb,24.829,42.1784,78.5729,61.3438,55.9641,28.8058,43.2229,47.0179,60.7682,81.7216,74.0516,49.669
KLHL18,5.07296,5.07489,4.24798,3.54201,4.27588,4.97733,6.33097,5.67317,3.6659,3.63548,3.6087,5.23765
,2.24081,8.00099,33.5086,33.8286,25.9643,3.75622,0.742017,4.83368,15.6961,54.5252,32.9901,22.6438
zgc:136870,1.32975,1.81325,2.99483,1.50067,0.473014,0.569677,0.729272,1.69198,2.03095,0.656149,0.65139,0.798426
Pard3,16.1655,13.2138,7.61392,7.60619,12.1645,14.4407,21.8409,22.5897,11.8552,6.92613,11.5148,14.329
si:ch73-52e5.2,5.60849,4.858,4.61628,3.09553,3.89929,4.1442,5.1799,6.36275,3.35448,2.70845,4.93152,4.74467
ANKRD12,16.9215,15.4597,13.1386,13.5763,16.2539,21.3295,21.1043,19.0988,14.1305,15.0842,20.0137,22.3971
vapal,18.9549,21.2114,30.2037,23.021,23.5184,20.4957,18.8977,22.3724,26.0652,26.8067,25.4386,18.5416
zgc:110180,20.9054,22.2465,33.7332,29.6161,29.206,18.714,21.9154,30.6891,32.1318,30.5726,30.2121,26.0125
adcy1b,26.3676,44.4702,76.48,36.9044,33.8808,18.5435,22.3132,31.4862,50.8423,62.2478,43.1889,30.0277
rpe65a,329.699,525.856,1402.56,725.332,411.614,152.104,208.848,583.322,1079.64,786.212,356.329,250.218
zgc:136547,4.86605,1.99475,0.889316,0.996518,1.59545,3.7261,2.81773,2.46191,0.938118,1.36595,2.62529,3.53652
dlg1l,20.5015,16.5499,15.8058,9.99685,12.3647,17.2303,17.0894,19.8923,17.7899,14.6336,14.1455,15.7163
zgc:153115,6.50334,5.60002,3.90054,3.82047,5.70304,7.35937,7.47753,5.14995,3.99291,5.20891,6.64028,5.71893
fam73a,11.1159,11.6584,9.00829,5.15833,5.61498,8.42934,15.0037,13.8453,12.1449,6.68384,6.50173,6.15368
bcl6ab,2.53565,4.13947,5.10746,4.24876,3.22475,3.17113,2.64435,3.37586,4.60778,4.5567,4.46964,3.06627
zgc:76925,15.8899,12.98,7.5461,9.7304,11.996,12.3524,15.7651,13.8212,13.1731,9.60241,10.4305,11.2513
atp1b3a,11.8604,18.9734,34.6145,26.2613,21.04,21.2006,16.1679,19.6494,37.1804,26.5845,21.251,17.4307
zgc:172298,23.7505,15.5492,7.70102,5.20704,10.3134,21.0638,33.1305,21.705,7.67418,7.33823,10.2693,20.432
zgc:114139,36.9056,22.3621,14.9075,14.216,25.9629,29.513,34.914,36.0808,20.277,18.7185,26.6841,28.9943
TMX3,132.683,61.2075,4.89077,32.129,83.2667,87.2842,101.443,72.8186,15.5266,21.0893,66.1361,111.93
LOC566207,16.4385,16.7286,11.2333,11.0511,14.7256,14.842,16.1125,15.8739,13.8012,13.5584,15.0221,15.4666
PER2,3.61878,5.34414,6.39627,7.4722,7.32623,6.1898,3.52024,3.30713,4.16132,11.5119,9.12425,8.30532
cdc34b,45.2881,31.6578,20.7159,26.814,38.8283,35.9673,52.8987,44.9221,30.3344,27.425,38.459,41.5469
shda,5.24835,5.01602,4.53278,4.00542,4.201,4.83254,6.63002,5.46334,3.24678,4.17783,4.30088,6.85853
CYYR1,5.65692,7.4335,7.07474,3.77242,4.80234,3.94502,5.48075,8.30246,7.49286,6.42823,4.37917,6.2275
si:dkey-77b17.2,3.62897,5.19455,7.23787,6.998,6.83384,5.88222,3.96587,5.50827,6.50928,9.65317,5.99044,6.70851
CDH2,56.0003,51.955,39.6266,33.8227,51.8293,57.7182,56.7883,53.7115,45.3357,38.7467,51.1791,51.6203
si:dkey-77p13.2,28.8878,25.6553,21.8732,12.696,14.4854,17.9276,18.5145,30.8689,23.807,19.5916,17.1003,15.8757
JAG2,39.9292,32.6242,19.0194,22.5743,31.0714,29.1249,39.1949,43.8689,22.6538,24.2539,32.8991,34.4635
CLOCK,7.80818,4.53251,1.87987,2.77306,4.28086,11.5597,9.87416,6.21964,1.88725,2.56807,6.00644,8.14301
FRYL,24.6243,34.3546,47.9201,41.1197,29.9445,27.2196,31.7464,45.4747,37.7118,39.9549,34.8712,33.6205
cyp2j24,3.28713,4.52108,22.6775,20.8448,12.2403,6.73153,3.16567,7.92014,15.0269,20.0201,11.7049,10.4887
PPAT,5.35395,15.8986,17.0789,19.7478,17.6933,8.22646,7.09552,10.8997,16.3772,22.1796,16.2225,12.1192
zbtb2b,3.85695,4.81455,4.2703,3.34494,2.70988,4.18679,3.21644,4.21813,3.99131,2.33742,2.31923,3.18108
zgc:101058,53.6716,49.0589,39.2892,27.7228,36.6429,31.8725,44.6807,43.2989,46.9531,35.3275,31.9124,34.5527
Otof,5.43756,5.64002,5.16991,6.01897,6.25241,6.61265,5.96599,4.90648,5.42633,7.53534,7.03696,6.67401
CD164,30.2133,35.4516,39.6948,44.8516,40.451,35.2409,30.4589,36.9676,37.0985,37.359,40.0026,33.5703
ivns1abpa,432.594,423.241,355.766,236.48,325.827,290.411,375.507,361.384,381.174,265.638,303.967,361.079
zgc:92578,21.2421,17.5442,14.9962,16.4607,19.3168,21.8664,21.3951,21.5093,16.5635,12.85,20.3126,22.7743
LOC794131,3.09818,4.26025,7.70311,5.74978,6.27504,3.81038,0.663818,4.22487,3.4998,7.81598,9.06777,5.64656
moxd1l,0.0,0.251181,0.803861,0.331074,0.0541172,0.0604264,0.0558485,0.0,0.52254,0.425163,0.142254,0.0
zgc:103511,2.5972,4.67551,5.39645,6.36441,4.10925,2.27649,3.26802,2.81488,5.8204,6.26536,5.35069,4.01423
zgc:162967,2.83902,2.55073,3.27444,4.96344,3.79557,2.88895,3.16525,2.9875,3.63424,4.57879,3.42336,3.09362
zgc:136752,8.88823,10.0489,20.1281,11.7248,7.21422,6.58958,4.81265,8.50106,15.4682,21.3468,10.9521,8.30449
,11.6002,8.28106,9.77191,6.67493,13.1051,25.1956,19.6081,11.0726,7.43095,9.56342,20.923,19.5575
RPF2,2.50282,5.4728,11.3094,10.299,6.01303,5.19591,4.6693,5.08684,10.012,8.05114,6.28869,4.84263
Gabrr1,0.356301,1.48257,3.67271,6.11277,3.85907,1.57201,0.962394,1.26581,1.44487,11.24,5.70221,3.2084
Pcmt,16.7368,21.615,35.0152,31.1191,28.1267,23.9547,19.9477,29.8338,31.4316,32.9203,32.1858,28.9531
,0.150175,0.416316,1.7464,2.77863,3.17535,0.598272,0.0352945,0.729893,1.17277,2.72386,1.45592,1.10481
zfp36l1l,55.4829,48.2442,85.6856,70.313,70.8834,50.8075,46.4541,60.4485,60.8041,74.3367,80.0134,62.0163
si:dkey-239i20.4,0.536079,2.85383,8.84993,7.9499,2.25741,1.25056,1.57816,3.49035,12.5921,5.63667,3.18654,0.819233
CDC42BPB,20.4636,17.776,17.3683,15.2298,16.9376,18.9093,18.8037,19.6341,17.9772,17.6649,16.8085,19.2823
XKR6,2.46168,2.57597,1.54684,0.805321,1.64638,4.31483,4.74551,1.86264,2.07488,0.891156,1.45415,2.1144
PPP1R13B,12.1312,13.785,21.2483,16.7826,17.2209,18.3591,11.1798,16.1739,19.9044,26.7609,21.8982,15.9327
ckbb,528.524,668.922,998.343,1003.47,1189.78,660.502,819.651,666.22,970.126,1249.6,1152.6,948.078
TMEM165,32.8947,26.0647,19.4255,18.1803,24.8166,26.3087,34.8345,22.2027,23.8808,21.7961,24.2473,25.5239
RASL11B,8.34594,8.04698,18.1903,7.27878,7.00289,3.83411,4.937,10.5103,17.2976,10.6535,6.02921,6.06897
cyp2j30,0.198431,0.0834703,0.887403,0.874487,0.412706,0.0,0.0559079,0.0642593,1.15051,1.09121,0.140555,0.121528
cyp2j29,1.26795,0.194221,4.36159,9.73415,5.96194,1.00558,0.475747,0.30325,2.57053,5.90992,3.81284,2.10402
Esr1,23.087,18.7784,14.3655,13.639,18.6986,23.1641,21.2183,20.3089,18.5939,17.0168,21.7789,21.4108
CPSF3,11.8226,13.7885,12.6788,11.9747,11.4871,10.5754,12.0837,12.4147,13.3874,11.3843,9.53719,11.0174
id2b,202.081,120.839,26.0832,56.9229,94.0728,103.543,218.086,124.67,68.5869,54.0128,85.1517,114.2
rnf144ab,9.50013,9.04147,7.78058,6.02966,11.7087,19.1613,12.7783,13.2342,6.11195,6.77452,11.7933,17.453
si:dkey-264g21.1,10.1178,7.57917,8.31339,7.17273,9.16063,13.15,11.0912,9.80069,8.07011,6.98463,8.97197,10.0592
si:ch211-63o20.5,8.52039,17.686,34.7944,26.2376,15.5941,15.9277,18.8482,25.2935,42.3242,35.7036,28.3718,18.4446
TNFRSF21,13.2791,14.6892,6.21865,6.1962,6.54808,11.09,14.6517,18.9954,10.9484,8.5149,8.21157,9.11889
zgc:103638,24.2929,25.6264,16.747,13.1295,17.8984,18.2676,23.7387,26.8591,25.0851,17.6315,20.0709,18.7706
si:dkey-69h9.1,5.32482,2.18233,3.4599,1.94498,2.88961,6.53869,8.3245,1.94076,2.1568,3.04304,3.87308,7.24326
zgc:110003,9.86214,22.0215,30.3682,28.8039,25.1752,13.1933,21.8782,28.2685,28.6531,47.4734,30.9464,23.2827
hsf2,8.02942,5.77014,30.841,17.9422,6.16998,4.49309,7.07782,4.22934,17.6016,21.7317,11.0791,5.65916
Fkbp1b,113.922,85.1737,36.4675,36.6493,47.0495,52.1553,119.989,84.4725,82.1985,51.2628,50.0285,50.7792
GPCPD1,23.2136,33.2221,42.0135,26.8919,27.3979,24.3769,27.3876,38.5505,36.9068,36.1711,30.1101,25.2623
gsdf,85.354,76.9104,37.1507,43.733,71.5838,61.2868,85.5747,99.9049,42.2108,45.1102,64.232,96.6665
zgc:110385,6.66831,5.8881,7.28988,9.33036,11.4883,6.91469,5.14522,6.25556,5.70554,7.11444,10.4785,7.67394
NOP14,5.49224,9.6395,11.6879,11.4097,9.30821,8.81699,8.35893,7.92658,9.90811,9.37461,9.48708,8.52742
phyhd1,12.3256,23.661,38.2038,41.3827,35.1253,17.2997,14.9116,22.338,33.0558,37.8031,27.9551,20.9573
zgc:162319,9.36161,9.39311,12.6124,12.5385,10.7382,10.6886,7.92659,10.2332,11.8128,11.5205,12.8791,10.5975
prlra,1.25952,3.42557,4.42502,3.81726,1.99406,1.56009,2.26761,2.13552,3.84577,4.2805,3.5334,2.9136
Cd8a,0.0894103,0.29907,1.51053,1.22972,0.511151,0.496835,0.288651,0.429951,1.38543,0.863766,0.0,0.0
ELL2,10.8758,8.5455,6.5526,6.82725,10.6413,11.3675,13.7888,11.5162,7.16518,8.96538,11.6353,13.3584
UBAP1,8.05312,9.27618,12.5564,9.66886,7.81636,7.46865,7.28981,9.56786,11.1942,8.67867,6.99103,6.50457
zgc:154031,16.8398,16.0068,9.70518,9.06081,15.4988,27.5935,31.5775,23.433,12.5224,8.7043,15.8652,25.3623
PTPRA,30.8531,33.3497,24.7621,18.4826,21.964,22.2148,27.9091,36.9917,37.665,22.7038,24.0217,20.8394
ATP synthesis coupled proton transport ,60.2274,40.8672,21.7784,41.1673,60.8081,48.067,57.9511,46.4381,24.6266,49.8706,59.2648,70.878
LOC797311,0.078988,0.0,0.0,0.0,0.138398,0.102353,0.0,0.0,0.0,0.0588836,0.0586314,0.0991112
neu3.2,3.50844,1.84505,4.2688,4.58275,5.97707,3.0838,0.50554,2.08286,4.21764,5.27376,4.74435,2.33004
CHEK1,0.549677,0.401,0.450783,1.65448,1.36883,0.814539,1.10814,0.776187,0.579488,1.12859,1.53108,1.05229
esrra,16.092,12.9116,7.3389,11.0602,16.9937,17.536,16.6382,17.2904,10.5554,12.7014,18.107,19.7848
arl3l1,26.6587,51.2916,53.6018,75.4998,63.4008,34.54,59.6642,54.7698,64.4392,93.3848,74.4216,51.0462
rars,7.86155,8.9472,9.95491,10.367,8.18999,5.50283,5.53598,5.73828,8.33358,9.25276,7.32616,6.52038
PGK1,62.958,77.619,90.2722,97.2714,96.9123,74.9117,66.0481,54.0368,92.548,93.3978,90.7297,67.5064
mntB,6.9233,6.48765,5.67896,4.3108,3.85168,4.52107,5.27011,6.56448,6.33529,4.89115,5.34201,5.2689
DKC1,3.43596,5.19886,5.31709,6.5849,5.57887,4.08552,3.73987,3.70837,4.62312,4.82895,5.65836,3.32068
zgc:77551,69.0883,64.1406,23.2905,29.115,44.749,43.8786,82.3538,66.9625,36.5135,32.3307,45.1753,65.2784
zgc:77214,26.9779,27.0644,23.6662,18.1281,23.0901,27.0038,25.4387,26.4734,24.621,22.1609,23.7357,27.2049
CCNG2,28.2335,16.4715,15.5065,17.3872,17.6723,23.8845,21.099,19.7397,15.1963,13.6884,19.6879,22.9869
mobkl1ab,7.20323,10.5598,21.467,17.5596,12.6886,10.5751,11.9138,11.7902,15.5199,17.8793,12.974,9.80365
CRB2,13.8822,10.0747,9.20912,7.55808,12.4885,12.9102,12.0212,11.9467,10.093,7.78878,10.434,11.9782
zgc:101635,2.50128,2.61846,13.3058,7.09018,5.17331,2.68057,2.62808,4.15608,9.72277,8.83464,6.43257,3.86476
Nop56,23.5106,23.3938,30.0194,30.0062,26.4406,24.5804,24.681,22.9852,28.5791,27.8744,28.4598,22.426
zgc:158748,7.58547,6.64783,6.40388,6.1138,6.44387,7.28274,6.64906,6.73514,6.38825,5.72358,7.00978,7.04539
zgc:194693,146.587,118.544,97.7541,65.0342,68.9004,67.8303,117.006,128.056,101.514,87.427,66.9803,77.2409
Phpt1,18.4971,17.1654,15.7686,15.3235,15.2957,14.6047,16.63,18.268,14.4163,12.3602,13.5917,13.594
zgc:171765,63.5402,92.83,76.7665,26.1296,31.2929,31.1541,50.211,85.9553,112.347,50.2362,39.3954,31.4039
zgc:153208,14.7362,18.655,12.6641,5.66767,7.23377,12.7965,14.5418,9.95843,10.3022,6.86744,8.97093,7.82946
zgc:110782,0.955497,0.575944,0.829583,1.83576,1.25625,1.12852,0.748038,0.57459,0.864332,1.28996,1.17141,0.703617
zgc:153096,2.13925,1.32777,1.3869,1.50935,2.11677,2.51901,1.96204,1.51057,1.18711,1.39398,1.74555,2.50394
CRCP,6.04292,7.27128,8.11675,7.39901,6.5464,5.15891,5.5426,4.15899,10.799,10.0902,6.0178,4.96783
zgc:123105,25.5371,46.3097,57.9789,46.668,40.9369,38.2126,44.6347,44.635,71.6851,63.0722,52.1015,36.2177
RNF145,21.6012,26.6897,30.5249,25.8843,24.3419,21.5307,24.144,26.0703,27.7573,27.1865,25.8841,23.5709
MT,0.976291,1.65981,1.17896,1.04079,0.601869,0.874824,1.4361,1.48798,0.750559,0.351671,0.598634,0.546824
NOP16,7.54281,11.676,11.3911,13.2091,11.3678,6.94305,8.47933,12.5874,11.2657,12.1488,11.1226,6.63105
RIPPLY1,3.76874,1.93526,1.32226,0.732312,1.49023,0.782447,2.84346,3.79925,1.5299,1.08277,1.30687,2.66746
UNC119B,17.2442,34.1685,47.3613,36.5918,30.7025,21.0795,26.9313,30.7429,44.3002,52.0334,39.0451,27.179
sept4a,56.1078,38.5648,31.6662,10.9043,20.8788,23.6224,52.4608,47.291,41.9795,22.8831,15.3191,31.4908
zgc:73143,27.5129,21.905,22.5954,17.6132,18.9177,16.775,26.5806,25.1525,19.3734,15.7692,15.0921,17.7463
usp49,5.00528,5.42643,5.82531,3.67989,4.1544,4.62651,5.1078,5.36914,4.18181,4.22294,4.06879,4.43076
cry2b,109.685,24.7417,8.95456,5.49881,19.8972,40.8527,51.2813,29.4513,10.1367,8.34269,19.0092,41.0738
zgc:173486,1.25005,1.46122,0.812079,0.891347,0.797486,1.2826,1.34711,0.826046,0.706435,0.750231,0.811649,1.13211
fbn2b,4.88946,3.0957,1.37477,1.55407,2.06525,2.8315,2.88083,2.45927,1.06727,1.54475,2.20921,2.80872
FAM40A,0.252577,0.556437,0.50192,0.389148,0.514711,0.273976,0.27194,0.622334,0.762176,0.865077,0.390323,0.29482
RASSF1,31.1473,20.766,16.0745,18.2206,25.7113,25.1298,29.9133,26.2686,15.1604,22.8285,28.9526,31.6448
zgc:122977,37.1781,26.7204,20.8579,31.0756,38.5949,33.3487,31.1881,33.5681,15.7563,27.3065,40.5392,41.1167
Crb1,39.3246,54.1488,54.1872,54.7028,57.1785,35.2148,44.8269,59.9395,59.6736,69.2772,57.5299,47.5319
add3a,56.0198,34.1638,29.6471,28.3162,35.9546,37.7696,45.9094,45.6043,30.8827,26.6233,39.4025,35.1852
LOC563601,6.09376,11.0729,56.3153,30.7581,10.9463,5.20297,7.80904,13.9763,52.3796,40.0798,19.7821,5.0534
zgc:110314,42.4835,41.6947,22.4216,20.0626,34.1823,48.4257,71.4468,52.2428,32.3217,34.6284,39.1412,39.8097
kal1b,2.40902,4.8411,6.1372,2.96672,2.77985,2.42704,3.39774,7.00443,5.86817,4.01021,3.79882,1.91987
bysl,6.96323,8.68446,9.46546,10.0698,7.74332,8.17531,6.42496,9.68386,10.0416,11.6327,10.161,7.72631
cry4,7.73631,7.03945,1.20699,2.81851,9.14146,12.1698,11.7128,9.56486,3.77897,2.08225,8.12359,12.2618
si:ch211-103f16.2,1.36132,2.29393,2.50143,2.6225,2.32523,1.76585,2.02483,1.37924,2.6202,3.03935,2.42228,2.25097
zgc:103434,33.4507,37.1685,42.8003,45.6748,48.567,42.6601,40.6324,33.7416,40.3796,68.9168,52.6497,41.8641
si:dkeyp-84a8.8,4.42942,5.45895,6.49481,9.05504,7.09981,5.60216,4.47745,4.31083,8.46005,9.16443,7.49575,5.30925
RQCD1,6.05341,7.86799,6.96885,5.89631,5.21244,4.67253,4.92412,6.29929,6.84923,3.85459,4.87625,3.41345
cdc14ab,9.62677,16.1943,51.2333,40.0718,32.2102,13.3386,11.3247,18.1609,29.4322,59.7929,40.7004,24.7995
TTC39C,6.17213,11.1042,17.8883,17.4674,12.5228,11.857,7.72403,9.16434,12.5919,21.3056,14.6779,10.0801
STX6,21.0981,21.0161,14.5003,9.10828,15.5647,21.2094,22.2934,18.6554,14.0968,12.8738,15.0602,15.8942
NFIA,18.9318,9.03391,6.69222,8.60481,14.597,21.9058,14.3451,15.7164,12.4467,8.76131,10.9544,15.875
,24.3402,24.2452,21.5332,19.4126,24.1343,29.3415,26.6938,24.8518,23.6724,21.0585,27.7459,28.3064
UCHL5,5.49564,7.0984,9.81916,8.24965,9.22707,8.52854,5.99103,6.58349,6.20435,9.64152,11.0592,9.46116
GLRX2,28.6137,18.567,15.1776,13.7932,20.865,22.6942,30.4508,19.8156,14.364,15.1601,18.2276,20.8962
pdcd4b,13.3364,17.2662,25.7956,20.5973,18.2152,16.6869,15.9127,17.6649,25.0805,20.1502,21.1375,18.1997
,87.0228,84.5572,36.8196,37.2112,54.9733,76.4498,95.2952,76.0488,66.3595,48.4362,65.5895,78.2742
zgc:110314,43.8079,38.4474,15.0237,16.8323,26.0812,31.0892,41.1217,35.7999,28.3613,18.708,26.9821,24.769
zgc:110314,29.2374,23.8205,12.7787,9.36367,19.4329,27.2058,40.8463,29.868,24.1359,21.0145,23.5684,24.5472
ppp4r2a,12.04,12.102,10.2198,7.03689,9.14603,9.90868,12.3595,10.3975,10.8134,8.10925,9.5932,9.92322
zgc:55695,5.7274,7.40054,8.01666,7.75163,6.10094,5.94033,5.59894,6.38209,7.14943,8.00967,6.70898,5.94126
igsf21b,23.1997,16.678,4.57811,13.1663,25.5533,21.1812,27.5683,24.4452,10.5647,12.4151,25.3298,32.8657
slc2a1a,0.947423,3.21892,33.923,14.1753,4.23235,3.95729,2.54988,2.24375,14.7218,27.6917,9.78054,4.37682
zgc:175180,13.9137,19.9121,9.54699,6.66573,7.81009,12.8549,13.6189,20.7084,14.6496,8.3269,12.1677,11.6468
eno1,154.092,157.543,183.709,192.25,225.242,173.482,188.628,161.69,153.637,217.61,219.494,205.416
zgc:63553,10.6419,15.0588,23.0658,16.8651,18.1101,16.6195,12.7431,12.7566,18.1249,22.362,22.6351,15.4817
pa2g4b,23.6767,25.799,32.0736,27.8355,26.635,22.3176,25.228,25.7751,27.3041,28.5416,24.5616,21.8353
